name,product_url,postal_code,city
Afhaalpunt Katwijk (enkel vooraf betaalde bestellingen afhalen) Brownies & Downies,https://libris.nl/vandermeer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2225 CS,Katwijk aan Zee
Boekhandel Deurenberg,https://libris.nl/boekhandeldeurenberg/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6461 AS,Kerkrade
Boekwinkel Omlo,https://libris.nl/boekwinkelomlo/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7891 GG,Klazienaveen
Boekhandel CW 76,https://libris.nl/boekhandelcw76/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1241 CP,Kortenhoef
Boekhandel Crimpenhof,https://libris.nl/boekhandelcrimpenhof/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2922 AJ,Krimpen aan den IJssel
Boekhandel Stumpel Krommenie,https://www.stumpel.nl/zanger-ronald-zingt-de-blues-9789048853366,1561 AP,Krommenie
Larense Boekhandel,https://libris.nl/larenseboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1251 AW,Laren
Van der Velde Boeken Leeuwarden,https://www.vanderveldeboeken.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8911 CJ,Leeuwarden
Boekhandel Kooyker,https://libris.nl/kooyker/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2311 CK,Leiden
Primera Kopermolen,https://libris.nl/kopermolen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2317 PA,Leiden
Primera Boekhandel Lemmer,https://libris.nl/boekhandel-lemmer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8531 EA,Lemmer
Boekhandel Rosetta,https://libris.nl/boekhandelrosetta/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3831 NC,Leusden
Kantoorboekhandel Meneer Kees,https://libris.nl/meneerkees/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7131 DH,Lichtenvoorde
Boekhandel Lovink,https://libris.nl/lovink/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7241 AA,Lochem
Boekhandel Sprankenis,https://libris.nl/sprankenis/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6026 CP,Maarheeze
Boek & Koek,https://libris.nl/boekenkoek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3951 CH,Maarn
Boekhandel Dominicanen,https://www.boekhandeldominicanen.nl/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6211 CZ,Maastricht
Boek- en Kantoorvakhandel Prins,https://libris.nl/prins/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7475 AX,Markelo
Boekhandel Stumpel Medemblik,https://www.stumpel.nl/zanger-ronald-zingt-de-blues-9789048853366,1671 BG,Medemblik
De Drvkkery,https://drukkerijmiddelburg.nl/zanger-ronald-zingt-de-blues-9789048853366,4331 LK,Middelburg
Boek - en kantoorvakhandel Dekker - Van Esbroek,https://libris.nl/dekker-vanesbroek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3241 GA,Middelharnis
Nimo Boek,https://libris.nl/nimoboek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1141 BG,Monnickendam
Boekhandel Roodbeen,https://libris.nl/roodbeen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3861 AB,Nijkerk
Dekker v.d. Vegt Boekverkopers,https://www.libris.nl/dekker-vd-vegt/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6511 PX,Nijmegen
Kantoorboekhandel Jacobs,https://libris.nl/jacobs/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6531 HE,Nijmegen
Boekhandel Spithoff,https://libris.nl/boekhandelspithoff/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,7442 NJ,Nijverdal
Boekhandel Van der Meer,https://libris.nl/vandermeer/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2201 MB,Noordwijk
Westerhof Nunspeet,https://libris.nl/westerhofboeken-jufferenwal/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8071 BZ,Nunspeet
Rijnlandse Boekhandel,https://libris.nl/rijnlandseboekhandel/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2343 CB,Oegstgeest
Boekhandel Oisterwijk,https://libris.nl/boekhandeloisterwijk/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5061 EJ,Oisterwijk
Primera Korten Olst,https://libris.nl/korten/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,8121 BK,Olst
Boekhandel Meijer & Siegers,https://libris.nl/meijerensiegers/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,6862 AX,Oosterbeek
Het Verboden Rijk,https://libris.nl/hetverbodenrijk-oosterhout/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4901 JK,Oosterhout
Boekhandel Derijks,https://libris.nl/derijks/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5341 CK,Oss
Boekhandel Sprey,https://libris.nl/boekhandelsprey/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1191 BG,Ouderkerk aan de Amstel
Primera Panningen,https://libris.nl/boekhandel-panningen/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5981 AP,Panningen
Kantoorboekhandel Van Atten (Pijnacker),https://libris.nl/vanattenboek/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2641 EN,Pijnacker
Boekhandel Stumpel Purmerend,https://www.stumpel.nl/zanger-ronald-zingt-de-blues-9789048853366,1441 BB,Purmerend
Het Leesteken,https://libris.nl/leesteken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,1441 BD,Purmerend
Bij Arie Lees | schrijf | kadoshop,https://libris.nl/bij-arie/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,3297 BM,Puttershoek
Boekhandel De Ridderhof,https://libris.nl/deridderhof/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2981 ET,Ridderkerk
Boekhandel Daan Nijman,https://www.daannijman.nl/boek/zanger-ronald-zingt-de-blues-9789048853366/,9301 AE,Roden
Veenerick Boek en Kantoor,https://libris.nl/veenerick/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,2371 DA,Roelofarendsveen
De Boekenwurm (Afhaalpunt Boekhandel Quist),https://libris.nl/quistboeken/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4701 JP,Roosendaal
Kantoorboekhandel Kortendijk,https://libris.nl/kortendijk-tolberg/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4706 LA,Roosendaal
Kantoorboekhandel Tolberg,https://libris.nl/kortendijk-tolberg/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,4708 HK,Roosendaal
Boekhandel De Omslag,https://libris.nl/deomslag/a/walter-van-den-berg/zanger-ronald-zingt-de-blues/501634390,5241 TJ,Rosmalen
Boekhandel Donner,https://www.donner.nl/producten/zanger-ronald-zingt-de-blues-9789048853366/,3012 AG,Rotterdam
