name,url,postal_code,city
De Gemaksshop Tegelen,https://libris.nl/gemaksshoptegelen,5931 NM,Tegelen
Boekhandel Van de Sande,https://libris.nl/vandesande,4531 GC,Terneuzen
Nauta Boek,https://libris.nl/nautaboek,1791 CB,Texel (Den Burg)
Boekhandel Arentsen en Tomey,https://libris.nl/arentsen,4001 LS,Tiel
Gianotten Mutsaers,https://www.gianottenmutsaers.nl,5038 XA,Tilburg
Boek- en Kantoorboekhandel Oonk,https://libris.nl/oonk,7391 EK,Twello
Primera BLZ Westra Ugchelen,https://libris.nl/boekhandel-westra,7339 CK,Ugchelen
Boek- en Kantoorboekhandel Schuyt,https://libris.nl/schuyt,1911 ED,Uitgeest
Boekhandel Ulft,https://libris.nl/boekhandel-ulft,7071 WT,Ulft
BROESE,https://www.broese.nl,3511 AW,Utrecht
Kantoor & Boekhandel KEES (Ella Fitzgeraldplein),https://libris.nl/visscher,3543 EP,Utrecht
Boekhandel Rutgers,https://www.boekhandelrutgers.nl,7051 CJ,Varsseveld
Primera Boekhandel Hiemstra,https://libris.nl/boekhandel-hiemstra,9641 DB,Veendam
Boekhandel Van Kooten,https://libris.nl/vankooten,3905 EB,Veenendaal
Boek- en Kantoorboekhandel Schellen,https://libris.nl/schellen,5461 KE,Veghel
Boekhandel Jansen & de Feijter,https://www.eenpassievoorboeken.nl,6881 ST,Velp
Boekhandel Koops,https://www.boekhandelkoops.nl,5911 BZ,Venlo
Boekhandel Roojboek,https://libris.nl/roojboek,5801 BV,Venray
Kantoor & Boekhandel KEES (Middenburcht),https://libris.nl/visscher,3452 MS,Vleuten
Boekhandel 't Spui,https://libris.nl/boekhandel-spui,4381 ER,Vlissingen
Boekhandel Jan Cas Sombroek,https://libris.nl/jancas-sombroek,1131 BS,Volendam
Borker Boekwinkel,https://libris.nl/borkerboekwinkel,9431 AC,Westerbork
Boekhandel Reterink,https://libris.nl/reterink,7641 BV,Wierden
Primera Boekhandel Wieringerwerf,https://libris.nl/primeraboekhandelwieringerwerf,1771 AC,Wieringerwerf
"Boekhandel Kramer, Winterswijk",https://libris.nl/boekhandelkramer,7101 NR,Winterswijk
Kantoor & Boekhandel KEES (Fontaineplein),https://libris.nl/visscher,3446 BX,Woerden
Boekhuis Stumpel (Workum),https://www.stumpel.nl,8711 AA,Workum
Kramer & van Doorn,https://libris.nl/kramer-vandoorn,3701 GE,Zeist
Boek en Buro Rebers,https://libris.nl/boek-en-buro,6901 AK,Zevenaar
Boekhandel De Vries,https://libris.nl/devries,4301 CB,Zierikzee
Boekhandel D. Sonneveld (Winkelcentrum Meerzicht),https://libris.nl/sonneveld,2716 CW,Zoetermeer
Boekhandel D. Sonneveld (Winkelcentrum Oosterheem),https://libris.nl/sonneveld,2721 NJ,Zoetermeer
Boekhandel Schoelier,https://libris.nl/schoelier,9801 BX,Zuidhorn
Boek en Buro Van den Brink,https://libris.nl/boek-en-buro,7201 LC,Zutphen
Van Someren & Ten Bosch Zutphen,https://www.vanderveldeboeken.nl,7201 KE,Zutphen
Vos & Van der Leer (Walburg),https://libris.nl/vos-vanderleer,3332 EH,Zwijndrecht
Boekhandel Westerhof (Diezerstraat),https://libris.nl/westerhofboeken-jufferenwal,8011 RL,Zwolle
Boekhandel Westerhof (Wade),https://libris.nl/westerhofboeken-jufferenwal,8043 LS,Zwolle
Van der Velde Boeken Zwolle,https://www.vanderveldeboeken.nl,8011 VA,Zwolle
